epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.0632,2.26261,3.59967,4.11759,1.53213,0.77828,0.45576,0.5726,0.4131,0.66493,0.41375,0.4906,0.34892,1.25667,1.22109,20.7459,0.69231,0.000276098,0.000276098,0.000276098
2,99.8602,1.7844,2.30312,2.4188,1.25961,0.60686,0.57053,0.61052,0.45257,0.50867,0.46466,0.51275,0.39057,1.12733,0.93722,17.465,0.64043,0.0005428,0.0005428,0.0005428
3,148.26,1.71524,2.00297,2.59988,1.22731,0.69788,0.66009,0.68901,0.46374,0.64118,0.61765,0.61382,0.41787,1.18197,0.89136,14.0115,0.64477,0.000798507,0.000798507,0.000798507
4,196.333,1.70803,2.04573,2.12978,1.21297,0.72835,0.61428,0.70005,0.48883,0.64252,0.59406,0.60491,0.44275,1.06559,0.87683,13.6169,0.63128,0.00078352,0.00078352,0.00078352
5,245.579,1.6461,2.083,2.11145,1.1858,0.65735,0.63113,0.65576,0.46787,0.60196,0.60142,0.59161,0.4353,0.98901,0.83988,11.4177,0.62986,0.000767026,0.000767026,0.000767026
6,295.213,1.58875,1.92436,1.90791,1.17873,0.71325,0.70165,0.7205,0.51363,0.69967,0.67002,0.67643,0.4837,0.99077,0.81898,13.6091,0.59407,0.000750533,0.000750533,0.000750533
7,343.97,1.50584,1.84918,1.72029,1.15329,0.80006,0.70231,0.76033,0.54831,0.76292,0.66795,0.69597,0.47961,0.99493,0.81415,10.0984,0.5851,0.00073404,0.00073404,0.00073404
8,392.562,1.50856,1.81268,1.85496,1.11933,0.73613,0.72802,0.74895,0.54264,0.69776,0.68799,0.6764,0.47847,1.01125,0.74667,8.54257,0.59408,0.000717546,0.000717546,0.000717546
9,441.427,1.52206,1.85575,1.7907,1.12574,0.75297,0.75902,0.77378,0.55058,0.75032,0.73503,0.74217,0.50964,0.94148,0.72389,8.4675,0.56038,0.000701053,0.000701053,0.000701053
10,490.095,1.39012,1.70173,1.49194,1.08325,0.80053,0.72364,0.78331,0.56744,0.77922,0.6555,0.69173,0.48398,1.00075,0.73781,6.99718,0.59669,0.000684559,0.000684559,0.000684559
11,539.176,1.37675,1.69181,1.51405,1.08614,0.8506,0.73016,0.79951,0.59704,0.79792,0.69617,0.71997,0.49903,0.88701,0.66902,6.77599,0.56564,0.000668066,0.000668066,0.000668066
12,588.127,1.40824,1.72618,1.51711,1.0846,0.81083,0.74769,0.79218,0.60212,0.74132,0.69041,0.70053,0.50189,0.882,0.70804,5.62128,0.56443,0.000651573,0.000651573,0.000651573
13,637.144,1.38514,1.68718,1.39018,1.06773,0.82444,0.71779,0.80845,0.59968,0.7762,0.67147,0.72608,0.50898,0.85208,0.65754,5.67137,0.54581,0.000635079,0.000635079,0.000635079
14,686.448,1.33523,1.62004,1.43158,1.05348,0.83345,0.72329,0.80364,0.59973,0.77146,0.66998,0.71961,0.51603,0.85009,0.68032,5.70581,0.53552,0.000618586,0.000618586,0.000618586
15,735.761,1.23798,1.50479,1.20952,1.05375,0.75051,0.76623,0.80237,0.59412,0.73476,0.73692,0.74724,0.51517,0.87759,0.63207,5.06922,0.53916,0.000602092,0.000602092,0.000602092
16,784.502,1.30873,1.57969,1.21109,1.04294,0.81447,0.77347,0.84359,0.64545,0.78667,0.72236,0.7592,0.53979,0.78108,0.60119,4.43217,0.52484,0.000585599,0.000585599,0.000585599
17,833.425,1.26452,1.52916,1.39137,1.02874,0.88637,0.73491,0.8416,0.63212,0.86274,0.69801,0.77299,0.56709,0.7849,0.60661,4.26238,0.51493,0.000569106,0.000569106,0.000569106
18,882.571,1.21948,1.49591,1.23951,1.01328,0.8432,0.71919,0.82336,0.62351,0.81806,0.65467,0.75319,0.53074,0.84285,0.59603,4.30396,0.54146,0.000552612,0.000552612,0.000552612
19,931.637,1.3057,1.58703,1.24529,1.02534,0.92061,0.70261,0.82381,0.64816,0.90407,0.68113,0.76731,0.55409,0.77779,0.58855,4.30799,0.52367,0.000536119,0.000536119,0.000536119
20,980.76,1.2265,1.46694,1.12727,1.00318,0.8932,0.74581,0.84019,0.64272,0.84735,0.69797,0.75105,0.53199,0.75408,0.58911,4.08082,0.50774,0.000519625,0.000519625,0.000519625
21,1029.28,1.19106,1.40437,1.16825,1.00388,0.88542,0.70719,0.83362,0.65506,0.86607,0.68556,0.7809,0.55025,0.78783,0.58016,4.17039,0.50953,0.000503132,0.000503132,0.000503132
22,1078.5,1.1652,1.42427,1.22542,1.0075,0.79022,0.77838,0.85007,0.63969,0.75255,0.74714,0.79897,0.56664,0.75331,0.5629,3.53242,0.50407,0.000486639,0.000486639,0.000486639
23,1127.47,1.16149,1.42522,1.13176,1.00183,0.82858,0.79222,0.86538,0.65118,0.86013,0.71393,0.80746,0.56351,0.76148,0.54306,3.5682,0.50751,0.000470145,0.000470145,0.000470145
24,1176.75,1.19508,1.41438,1.16673,1.00451,0.88669,0.75681,0.85146,0.66891,0.8692,0.72703,0.8007,0.55555,0.73436,0.54899,5.33082,0.50958,0.000453652,0.000453652,0.000453652
25,1225.53,1.11752,1.38839,1.00876,0.98948,0.91687,0.7319,0.85453,0.67532,0.8836,0.71186,0.78991,0.56623,0.75908,0.5548,3.64773,0.50186,0.000437158,0.000437158,0.000437158
26,1274.36,1.15189,1.40205,1.05458,0.99303,0.87045,0.8064,0.87595,0.68981,0.81586,0.75643,0.81042,0.58455,0.75943,0.50395,3.08351,0.49347,0.000420665,0.000420665,0.000420665
27,1323.1,1.11977,1.40315,0.96639,0.96822,0.86094,0.79032,0.87442,0.70141,0.86843,0.70585,0.79712,0.56489,0.69525,0.53745,2.72541,0.49254,0.000404172,0.000404172,0.000404172
28,1372.55,1.08198,1.3733,0.97607,0.97678,0.84533,0.83106,0.89166,0.69442,0.83215,0.74693,0.82034,0.5729,0.72885,0.53391,2.89423,0.48721,0.000387678,0.000387678,0.000387678
29,1421.94,1.0916,1.35152,1.00219,0.97708,0.83483,0.83581,0.88826,0.71276,0.82979,0.78269,0.83442,0.5788,0.69432,0.51134,3.35601,0.48964,0.000371185,0.000371185,0.000371185
30,1471.1,1.01211,1.31906,0.91255,0.9646,0.88169,0.81181,0.89718,0.71898,0.87538,0.71472,0.79947,0.56207,0.67911,0.49891,3.5271,0.48768,0.000354691,0.000354691,0.000354691
31,1520.48,1.07802,1.39823,0.97878,0.97751,0.90368,0.78661,0.89227,0.72486,0.88888,0.7479,0.83757,0.60273,0.66735,0.48288,3.30346,0.48363,0.000338198,0.000338198,0.000338198
32,1569.92,1.00533,1.29504,0.89957,0.9516,0.88947,0.78996,0.87824,0.6911,0.83268,0.72465,0.78888,0.54567,0.67263,0.49622,2.93704,0.48535,0.000321705,0.000321705,0.000321705
33,1619.09,1.00398,1.32516,0.9724,0.95611,0.88884,0.79251,0.86905,0.70763,0.8415,0.74882,0.80261,0.57278,0.66662,0.5185,2.71422,0.48013,0.000305211,0.000305211,0.000305211
