epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.6946,2.28879,2.7937,1.31387,0.94427,0.17945,0.18693,0.07052,1.58882,20.8043,0.94634,0.000274547,0.000274547,0.000274547
2,72.4923,2.02423,1.81902,1.21205,0.68946,0.18829,0.21223,0.0946,1.44106,22.0899,0.87258,0.000547658,0.000547658,0.000547658
3,105.587,1.98161,1.70244,1.20672,0.78271,0.24578,0.26064,0.10018,1.47151,19.1212,0.88243,0.000816187,0.000816187,0.000816187
4,138.598,1.95037,1.62755,1.21237,0.64639,0.36294,0.42827,0.18282,1.44606,16.9093,0.86947,0.000812383,0.000812383,0.000812383
5,171.509,1.91589,1.52281,1.20904,0.70316,0.3985,0.40879,0.14239,1.57489,13.3656,0.91757,0.000805511,0.000805511,0.000805511
6,204.898,1.86879,1.44035,1.18453,0.69676,0.5739,0.63813,0.28138,1.43412,14.1061,0.86265,0.000798639,0.000798639,0.000798639
7,238.657,1.84945,1.38931,1.18063,0.75027,0.637,0.67502,0.30951,1.49996,19.0229,0.87855,0.000791767,0.000791767,0.000791767
8,272.252,1.82187,1.35579,1.18405,0.71028,0.61001,0.62617,0.27675,1.39487,14.1114,0.85708,0.000784894,0.000784894,0.000784894
9,305.962,1.8674,1.36024,1.18122,0.78579,0.64214,0.68218,0.32857,1.30104,13.7272,0.81177,0.000778022,0.000778022,0.000778022
10,339.591,1.7856,1.27554,1.17129,0.74886,0.68126,0.69,0.33322,1.35958,10.8218,0.82863,0.00077115,0.00077115,0.00077115
11,372.871,1.80266,1.28037,1.17021,0.78067,0.6624,0.70295,0.35224,1.3096,11.4537,0.8161,0.000764278,0.000764278,0.000764278
12,406.014,1.75692,1.21213,1.15332,0.75128,0.66292,0.70935,0.36197,1.3658,11.0102,0.82765,0.000757405,0.000757405,0.000757405
13,439.84,1.72525,1.1709,1.1383,0.79382,0.71229,0.71483,0.32974,1.42982,9.40897,0.84701,0.000750533,0.000750533,0.000750533
14,473.125,1.71809,1.1973,1.13092,0.77713,0.69328,0.71136,0.38241,1.25376,9.70333,0.78956,0.000743661,0.000743661,0.000743661
15,506.563,1.70561,1.15244,1.13208,0.76297,0.66448,0.69372,0.37841,1.23533,8.1087,0.79524,0.000736788,0.000736788,0.000736788
16,540.136,1.67973,1.1415,1.12105,0.74468,0.67602,0.69728,0.37855,1.22077,10.4006,0.78282,0.000729916,0.000729916,0.000729916
17,573.407,1.65587,1.16089,1.12146,0.75735,0.6927,0.71738,0.37909,1.23377,9.54908,0.78875,0.000723044,0.000723044,0.000723044
18,606.778,1.67534,1.13177,1.11944,0.76924,0.70494,0.72564,0.38687,1.23677,7.80583,0.78691,0.000716172,0.000716172,0.000716172
19,640.042,1.64579,1.06781,1.1169,0.77053,0.71111,0.72836,0.38236,1.25941,6.36293,0.79594,0.000709299,0.000709299,0.000709299
20,673.68,1.66691,1.13864,1.13134,0.77392,0.67679,0.7165,0.37734,1.27731,8.2113,0.79336,0.000702427,0.000702427,0.000702427
21,707.298,1.62912,1.10178,1.10892,0.76587,0.69559,0.7298,0.41447,1.14422,6.85753,0.75845,0.000695555,0.000695555,0.000695555
22,740.996,1.64679,1.07772,1.12072,0.76589,0.7259,0.74265,0.39178,1.26418,9.14373,0.79111,0.000688683,0.000688683,0.000688683
23,774.75,1.60924,1.01699,1.10495,0.76234,0.71962,0.73949,0.38811,1.20073,6.70785,0.77167,0.00068181,0.00068181,0.00068181
24,808.475,1.59824,1.02493,1.08798,0.78702,0.73668,0.74642,0.4094,1.15702,7.25849,0.75806,0.000674938,0.000674938,0.000674938
